,title,paragraph
26,धनसिंह थापा,"मेजर धनसिंह थापा जी परमवीर चक्र से सम्मानित नेपाली मूल के भारतीय सैनिक हैं। इन्हे यह सम्मान सन 1962 मे मिला।[2] वे अगस्त १९४९ में भारतीय सेना की आठवीं गोरखा राइफल्स में अधिकारी के रूप में शामिल हुए थे[3]।भारत द्वारा अधिकृत विवादित क्षेत्र में बढ़ते चीनी घुसपैठ के जवाब में भारत सरकार ने ""फॉरवर्ड पॉलिसी"" को लागू किया। योजना यह थी कि चीन के सामने कई छोटी-छोटी पोस्टों की स्थापना की जाए। चीन-भारतीय युद्ध अक्टूबर 1962 में शुरू हुआ; 21 अक्तूबर को, चीनी ने पैनगॉन्ग झील के उत्तर में सिरिजैप और यूल पर कब्ज़ा करने के उद्देश्य से घुसपैठ शुरू की थी।सिरिजैप 1, पांगॉन्ग झील के उत्तरी किनारे पर 8 गोरखा राइफल्स की प्रथम बटालियन द्वारा स्थापित एक पोस्ट थी जो मेजर धन सिंह थापा जी की कमान में थी। जल्द ही यह पोस्ट चीनी सेनाओं द्वारा घेर लिया गया था। मेजर थापा जी और उनके सैनिकों ने इस पोस्ट पर होने वाले तीन आक्रमणों को असफल कर दिया। श्री थापा सहित बचे लोगों को युद्ध के कैदियों के रूप में कैद कर लिया गया था। अपने महान कृत्यों और अपने सैनिकों को युद्ध के दौरान प्रेरित करने के उनके प्रयासों के कारण उन्हें परमवीर चक्र से सम्मानित किया गया।"
27,नंद सिंह,"नंद सिंह वीसी एमवीसी (24 सितंबर 1 9 14 - 12 दिसंबर 1 9 47) विक्टोरिया क्रॉस के एक भारतीय प्राप्तकर्ता थे, ब्रिटिश और राष्ट्रमंडल सेनाओं को दिए जाने वाले दुश्मन के खिलाफ वीरता के लिए सर्वोच्च और सबसे प्रतिष्ठित पुरस्कार दिया गया। [1]द्वितीय विश्व युद्ध के दौरान भारतीय सेना में 1/11 वीं सिख रेजिमेंट में वह 29 वर्ष के थे जब निम्न कार्य किया गया जिसके लिए उन्हें विक्टोरिया क्रॉस से सम्मानित किया गया। 
11/12 मार्च 1 9 44 को मोंग्डू-बथिदांग रोड, बर्मा (अब म्यांमार) पर, नाइक नंद सिंह ने, हमले के एक प्रमुख वर्ग के कमांडिंग के लिए, दुश्मन द्वारा प्राप्त की गई स्थिति को दोबारा करने का आदेश दिया गया। वह अपने अनुभाग को बहुत भारी मशीन-गन और राइफल फायर के नीचे एक बहुत खड़ी चाकू धार वाली रिज का नेतृत्व करता था और यद्यपि जांघ में घायल हो गया था, पहली खाई पर कब्जा कर लिया था। इसके बाद वह केवल अकेले आगे बढ़कर, चेहरे और कंधे पर फिर से घायल हो गया, फिर भी दूसरी और तीसरी खाई पर कब्जा कर लिया। [2]बाद में उन्होंने आजादी के बाद भारतीय सेना में जेमदर का पद हासिल किया और 1 9 47 में जम्मू और कश्मीर संचालन या भारत-पाकिस्तान युद्ध में शामिल होने वाला पहला सिख 1 अक्टूबर 1 9 47 से शुरू हुआ क्योंकि भारतीय सैनिकों ने कार्रवाई की पाकिस्तान के हमलावरों द्वारा जम्मू और कश्मीर के एक आक्रमण पर हमला करने के लिए
12 दिसंबर 1 9 47 को नंद सिंह ने कश्मीर में ऊरी में पहाड़ियों के पहाड़ी एसई में घुसपैठ से अपनी बटालियन को निकालने के लिए एक डरावनी लेकिन सफल हमले में डी कॉय के अपने पलटन का नेतृत्व किया। वह एक गहन क्वार्टर मशीन-गन फट से मर्तुक रूप से घायल हो गया था, और महावीर महा वीर चक्र (एमवीसी), युद्धक्षेत्र वीरता के लिए दूसरी सबसे बड़ी भारतीय सजावट से सम्मानित किया गया। इससे वीसी विजेताओं के इतिहास में नंद सिंह अद्वितीय हैं"
28,नरबहादुर थापा,"नायक नरबहादुर थापा, एसी भारतीय सेना में एक सिपाही थे, जिन्हें पहली बार शान्ति समय के सर्वोच्च सैन्य सम्मान "" अशोक चक्र "" से सम्मानित किया गया था। वह पहली बार इसे प्राप्त करने वाले तीनों लोगों में थे। [1] [2]नायक नरबहादुर थापा को 11 नवंबर 1940 को भारतीय सेना में भर्ती किया गया था। अपना प्रशिक्षण पूरा करने के बाद उन्हें 5/5 गोरखा राइफल्स में तैनात किया गया। 1948 में, वह अपनी बटालियन के साथ अपने कर्तव्यों के लिए हैदराबाद पुलिस एक्शन में तैनात थे।13 सितंबर 1948 को हैदराबाद पुलिस की कार्रवाई के दौरान, नायक नरबहादुर थापा 5/5 गोरखा राइफल्स के साथ तैनात थे। उसी दिन, A कंपनी की कोई 2 प्लाटून, 5/5 यानी 5 वीं बटालियन की 5 वीं गोरखा राइफल्स को हैदराबाद के तुंगभद्रा रेलवे ब्रिज के बाएं किनारे पर बेन गन पोस्ट से स्वचालित रूप से आग लगाकर और दुश्मन के अन्य ठिकानों से छीन लिया गया । जैसे ही शत्रुतापूर्ण स्थिति सेक्शन फायर से लगी, नायक नरबहादुर थापा भारी दुश्मन फायार के तहत 100 गज खुले मैदान में गयें। उन्होंने अपने खुकरी से मशीन गन पोस्ट चालक दल को समाप्त कर दिया और उनकी पलटन महत्वपूर्ण तुंगभद्रा ब्रिज को आगे बढ़ने और सुरक्षित करने में सक्षम रहीं।"
29,नायब सूबेदार बन्ना सिंह,"कैप्टन बन्ना सिंह अथवा बाना सिंह परमवीर चक्र से सम्मानित भारतीय भूतपूर्व सैनिक हैं। उनको यह सम्मान वर्ष १९८७ में मिला था जब इन्होंने सियाचिन ग्लेशियर को पाकिस्तान के कब्जे से मुक्त कराने के अभियान में अप्रतिम शौर्य का प्रदर्शन किया था। अलंकरण के समय आप नायब सूबेदार के पद पर थे जो बाद में क्रमशः सूबेदार, सूबेदार मेजर व कैप्टन बने। भारत की गणतंत्र दिवस परेड का नेतृत्व व भारत के राष्ट्रपति को सर्वप्रथम सलामी देने का अधिकार आपके पास ही सुरक्षित है।पाकिस्तानी सेना के साथ भारतीय सेना की चार मुलाकातें युद्धभूमि में तो हुई हीं, कुछ और भी मोर्चे हैं, जहाँ हिन्दुस्तान के बहादुरों ने पाकिस्तान के मंसूबों पर पानी फेर कर रख दिया। सियाचिन का मोर्चा भी इसी तरह का एक मोर्चा है, जिसमें जम्मू कश्मीर लाइट इन्फेंट्री के आठवें दस्ते के नायब सूबेदार बाना सिंह को उनकी चतुराई, पराक्रम और साहस के लिए भारत सरकार द्वारा परमवीर चक्र दिया गया।सियाचिन के बारे में दूर बैठकर केवल कल्पना ही की जा सकती है। समुद्र तट से 21 हजार एक सौ तिरपन फीट की ऊचाँई पर स्थित पर्वत श्रणी, जहाँ 40 से 60 किलोमीटर प्रति घण्टे की रफ्तार से बर्फानी हवाएँ चलती ही रहती हैं और जहाँ का अधिकतम तापमान -35° C सेल्सियस होता है वहाँ की स्थितियों के बारे में क्या अंदाज लगाया जा सकता है। लेकिन यह सच है कि यह भारत के लिए एक महत्त्वपूर्ण जगह है। दरअसल, 1949 में कराची समझौते के बाद, जब युद्ध विराम रेखा खींची गई थी, तब उसका विस्तार, जम्मू-कश्मीर क्षेत्र में उत्तर की तरफ खोर से लेकर दक्षिण की ओर मनावर तक था। इस तरह यह रेखा उत्तर की तरफ NJ9842 के हिमशैलों (ग्लेशियर्स) की तरह जाती है। इस क्षेत्र में घास का एक तिनका तक नहीं उगता है, साँस लेना तक सर्द मौसम के कारण बेहद कठिन है। लेकिन कुछ भी हो, यह ठिकाना ऐसा है जहाँ भारत, पाकिस्तान और चीन की सीमाएँ मिलती है, इसलिए सुरक्षा की दृष्टि से इसका विशेष महत्त्व है। 
हमेशा की तरह अतिक्रमण और उकसाने वाली कार्यवाही पाकिस्तान द्वारा ही यहाँ भी की गई। पहले तो उसने सीमा तय होते समय 5180 वर्ग किलोमीटर क्षेत्र जो भारत का होता उसे चीन की सीमा में खिसका दिया। इसके अलावा वह उस क्षेत्र में विदेशी पर्वतारोहियों को और वैज्ञानिक परीक्षणों के लिए बाहर के लोगों को भी बुलवाता रहता है, जब कि वह उसका क्षेत्र नहीं हैं। इसके अतिरिक्त भी उसकी ओर से अनेक ऐसी योजनाओं की खबर आती रहती है जो अतिक्रमण तथा आपत्तिजनक कही जा सकती है। यहाँ हम जिस प्रसंग का ज़िक्र विशेष रूप से कर रहे हैं, वह वर्ष 1987 का है। इसमें पाकिस्तान ने सियाचिन ग्लेशियर पर, भारतीय सीमा के अन्दर अपनी एक चौकी बनाने का आदेश अपनी सेनाओं को दे दिया। वह जगह मौसम को देखते हुए, भारत की ओर से भी आरक्षित थी। वहाँ पर पाकिस्तान सैनिकों ने अपनी चौकी खड़ी की और 'कायद चौकी' का नाम दिया। यह नाम पाकिस्तान के जनक कायदे-आजम मोहम्मद अली जिन्ना के नाम पर रखा गया था। 
उस चौकी की संरचना समझना भी बड़ा रोचक है। वह चौकी, ग्लेशियर के ऊपर एक दुर्ग की तरह बनाई गई, जिसके दोनों तरह 1500 फीट ऊँची बर्फ की दीवारें थीं। इसे पाकिस्तान ने अपनी यह चौकी 'कायद' बड़ी चुनौती की तरह, भारत की सीमा के भीतर बनाई थी, जिसे अतिक्रमण के अलावा कोई और नाम नहीं दिया जा सकता। जाहिर है, भारत के लिए इस घटना की जानकारी पाकर चुप बैठना सम्भव नहीं था। भारतीय सेना ने यह प्रस्ताव बनाया कि हमें इस चौकी को वहाँ से हटाकर उस पर अपना कब्जा कर लेना है। इस प्रस्ताव के जवाब में नायब सूबेदार बाना सिंह ने खुद आगे बढ़कर यह कहा कि वह इस काम को जाकर पूरा करेंगे। वह 8 जम्मू कश्मीर लाइट इंफेस्टरी में नायब सूबेदार थे। उन्हें इस बात की इजाज़त दे दी गई। नायब सूबेदार बाना सिंह ने अपने साथ चार साथी और लिए और अपने लक्ष्य की ओर बढ़ लिए। योजना के अनुसार बटालियन के दूसरे लोग पाकिस्तान दुश्मन के सैनिकों को उलझा कर रखे रहे और उधर बाना सिंह और उनके साथियों ने उस चौकी तक पहुँचने का काम शुरू कर दिया। 
'कायद पोस्ट' की सपाट दीवार पर, जो कि बर्फ की बनीं थी, उस पर चढ़ना बेहद कठिन और जोखिम भरा काम था। इसके पहले भी कई बार इस दीवार पर चढ़ने ने की कोशिश हिन्दुस्तानी सैनिकों की थी और नाकाम रहे थे। रात का तापमान शून्य से भी तीस डिग्री नीचे गिरा हुआ था। तेज हवाएँ चल रही थी। पिछले तीन दिनों से लगातार जबरदस्त बर्फ गिर रही थी। भयंकर सर्दी के कारण बन्दूकें भी ठीक काम नहीं कर रहीं थीं। खैर, अँधेरे का फायदा उठाते हुए बाना सिंह और उनकी टीम आगे बढ़ी रही थी। रास्ते में उन्हें उन भारतीय बहादुरों के शव भी पड़ी दिख रहे थे जिन्होंने यहां पहुँचने के रास्ते में प्राण गँवाए थे। जैसे-तैसे बाना सिंह अपने साथियों को लेकर ठीक ऊपर तक पहुँचने में कामयाब हो गये। वहाँ पहुँच कर उसने अपने दल को दो हिस्सें में बाँटकर दो दिशाओं में तैनात किया और फिर उस 'कायद पोस्ट' पर ग्रेनेड फेंकने शुरू किया। वहाँ बने बंकरों में ग्रेनेड ने अपना काम दिखाया। साथ ही दूसरे दल के जवानों ने दुश्मन के सैनिकों को, जोकि उस चौकी पर थे, बैनेट से मौत के घाट उतारना शुरू कर दिया। वहां पर पाकिस्तान के स्पेंशल सर्विस ग्रुप (SSG) के कमांडो तैनात थे, जो इस अचानक हमले में मारे गए औ कुछ चौकी छोड़कर भाग निकले। कुछ ही देर में वह चौकी दुश्मनों के हाथ से भारतीय बहादुरों के हाथ में आ गई। मोर्चा फ़तह हुआ था। बाना सिंह समेत उनका दल सही सलामत उस पर काबिज हो गया।"
30,नीरज कुमार सिंह,"नाइक नीरज कुमार सिंह, एसी भारतीय सेना में एक सैैैनिक थे, जिन्हें  26 जनवरी 2015 को  मरणोपरांत  अशोक चक्र, देश के सर्वोच्च शांतिकालीन सैन्य अलंकरणसे सम्मानित किया गया था [1] वह 13वीं बटालियन, राजपुताना राइफल्स में भर्ती हुए थे और 57वीं बटालियन राष्ट्रीय राइफल्स में सेवा कर रहे थे, जब वे कार्रवाई में शहीद हुए थे।24 अगस्त, 2014 को जम्मू-कश्मीर के कुपवाड़ा में एक तलाशी अभियान का नेतृत्व करते हुए सेना के जवान पर आतंकवादियों की भारी गोलीबारी हुई। उन्होंने सेना के एक घायल व्यक्ति को बचाया और एक आतंकवादी को मार गिराया। [2]नायक नीरज कुमार सिंह उत्तर प्रदेश के बुलंदशहर जिले के देवराला गांव के रहने वाले थे। वह श्री ओमवीर सिंह और श्रीमती राजस के पुत्र थे। उनके पिता एक किसान थे। उनके तीन और भाई-बहन थे। [3]"
31,नीलकांतन जयचंद्रन नायर,"कर्नल नीलकांतन जयचंद्रन नायर, एसी, केसी (""एनजे"" के रूप में लोकप्रिय) भारतीय सेना के एक उच्च पदस्थ अधिकारी थे। २० दिसंबर १९९३ को, बटालियन के एक अग्रिम दल का नेतृत्व करते हुए, उनके काफिले पर नगा विद्रोहियों ने हमला किया। नायर ने व्यक्तिगत रूप से हमले को तोड़ने के लिए नेतृत्व किया और अपने लोगों का बचाव करते हुए अपने जीवन का बलिदान दिया। वीरता के इस कार्य के लिए उन्हें अशोक चक्र से सम्मानित किया गया था। [1] [2] [3]तकनीकी रूप से नायर भारतीय सेना का सबसे सुशोभित अधिकारी है, क्योंकि एकमात्र सैनिक को सर्वोच्च ( अशोक चक्र ) और वीरता के लिए दूसरा सर्वोच्च ( कीर्ति चक्र ) पुरस्कार दिया गया है।नायर सैनिक स्कूल, कज़खूटम, केरल का पूर्व छात्र था। [4] फिर वह ३८ वें कोर्स के हिस्से के रूप में नेशनल डिफेंस अकादमी, पुणे में शामिल हो गए। वह 'आई' स्क्वाड्रन के सदस्य थे।  उन्होंने वेलिंगटन में डिफेंस सर्विसेज स्टाफ कॉलेज में पढ़ाई की ।"
32,पंकज ध्यानी,"कर्नल पंकज ध्यानी, केसी डोगरा रेजिमेंट के एक भारतीय सेना अधिकारी हैं, जिन्हें भारत के दूसरे सर्वोच्च शांतिकालीन वीरता पुरस्कार कीर्ति चक्र से सम्मानित किया गया है। [1] वह आईएमए में युवा प्रशिक्षक थे। [2] वह ताजिकिस्तान के रक्षा सचिव हैं। [3]पंकज ध्यानी १२ डोगरा रेजीमेंट में कमीशन हुए थे। [4] [5]२००१ के गणतंत्र दिवस पर कैप्टन ध्यानी को २००० में उनके वीरतापूर्ण कार्य के लिए भारत के दूसरे सर्वोच्च शांतिकालीन वीरता पुरस्कार कीर्ति चक्र से सम्मानित किया गया था। इस दौरान ध्यानी को जम्मू-कश्मीर में राष्ट्रीय राइफल्स में तैनात किया गया था। ११ राष्ट्रीय राइफल्स के ध्यानी, एक आपरेशन के दौरान अकेले ही मुठभेड़ में चार आतंकियों को ढेर कर दिया। [6] [7]"
33,पद्मपाणि आचार्य,"मेजर पद्मपनी आचार्य एमवीसी; (21 जून 1 9 69 - 28 जून 1 999) भारतीय सेना में एक अधिकारी थे उन्हें 28 जून 1999 को कारगिल युद्ध के दौरान अपने कार्यों के लिए मरणोपरांत भारतीय सैन्य सम्मान, महा वीर चक्र से सम्मानित किया गया।[1][2]मेजर आचार्य मूल रूप से ओडिशा से थे और हैदराबाद, तेलंगाना के निवासी थे। आचार्य, चारुलाथा से शादी कर रहे थे आचार्य के पिता, जगन्नाथ आचार्य, 1 9 65 और 1 9 71 के पाकिस्तान के साथ युद्ध के दौरान भारतीय वायु सेना के सेवानिवृत्त विंग कमांडर थे। वे वर्तमान में हैदराबाद में रक्षा अनुसंधान और विकास प्रयोगशालाओं के साथ काम कर रहे हैं। मेजर आचार्य अपने पीछे माता-पिता, पत्नी और बेटी अपराजीता को छोड़ गए थे, जो उनकी मृत्यु के कुछ महीने बाद पैदा हुई थी। उनकी बेटी अपराजीत आचार्य एक एनसीसी (राष्ट्रीय कैडेट कोर (इंडिया) कैडेट हैं[3]28 जून 1 999 को, थलोलिंग फीचर पर दूसरी राजपूताना राइफल्स द्वारा मेजर पद्मपनी आचार्य ने कंपनी कमांडर के रूप में बटालियन हमले में दुश्मन की स्थिति पर काबू करने का दुर्जेय काम सौंपा गया , जो भारी सुरक्षा वाले क्षेत्र और व्यापक मशीनगन और तोपखाने से सुसज्जित थी। हालांकि, कंपनी की शुरुआत कमजोर हुई थी, जब दुश्मन की तोपखाने की आग ने प्रमुख पलटन का भछरी नुक्सान किया तब अपनी निजी सुरक्षा के प्रति उदासीन मेजर पद्मपनी आचार्य ने आरक्षित प्लाटून का सहारा लिया और गोलों की बारिश के बीच भी अपना अभियान चलाया।"
34,पीरू सिंह,"कंपनी हवलदार मेजर पीरू सिंह (श्री पीरू सिंह शेखावत भी) (२० मई १९१८ – १८ जुलाई १९४८) भारतीय सैनिक थे। उनका १९४७ के भारत-पाक युद्ध में निधन हुआ। उन्हें 1952 में  मरणोपरांत परमवीर चक्र से सम्मानित किया गया जो शत्रु के सामने वीरता प्राप्त करने के लिए दिया जाने वाला सर्वोच्च भारतीय सम्मान है।[1]श्री पीरू सिंह का जन्म 20 मई 1918 को राजस्थान के बेरी गांव में हुआ था। वह लाल सिंह के पुत्र थे। उनके परिवार में सात बच्चे तीन भाई और चार बहनें थीं जिनमें से श्री सिंह सबसे छोटे थे। युवावस्था में श्री सिंह हमेशा स्कूल से नफरत करते थे क्योंकि वह प्रतिबंधित पर्यावरण पसंद नहीं करते थे। एक बार सहपाठी से झगड़ा करने पर शिक्षक द्वारा डांटे जाने पर वह स्कूल से भाग गए और कभी स्कूल नहीं आए। उसके बाद श्री सिंह ने अपने माता-पिता के साथ अपने खेत में मदद करना शुरू कर दिया। शिकर, एक स्थानीय भारतीय खेल उनका पसंदीदा खेल था। यद्यपि श्री सिंह अपने बचपन से सेना में शामिल होना चाहते थे, लेकिन वह अठारह वर्ष की आयु पूर्ण नहीं होने के कारण दो बार निकाल दिए गए तथा बाद में सेना में शामिल हुए।श्री पीरू सिंह शेखावत को 20 मई 1936 को झेलम में 1 पंजाब रेजिमेंट की 10वीं बटालियन में नामांकित किया गया था। प्रशिक्षण पूरा होने के बाद 1 मई 1937 को श्री सिंह को उसी रेजिमेंट की 5वीं बटालियन में तैनात किया गया। स्कूली शिक्षा से पहले से ही शत्रुता होने के बावजूद श्री सिंह ने शिक्षा को गंभीरता से लिया और सेना में शिक्षा प्रमाण पत्र को प्राप्त किया। कुछ अन्य परीक्षाओं को उत्तीर्ण करने के बाद 7 अगस्त 1940 को उन्हें लांस नायक के पद पर पदोन्नत किया गया था। 1 पंजाब की 5वीं बटालियन के साथ अपने कार्यकाल के दौरान उन्होंने उत्तर-पश्चिम फ्रंटियर पर कार्रवाई की।"
35,पुनीत नाथ दत्त,"द्वितीय लेफ्टिनेंट पुनीत नाथ दत्त (२९ एप्रिल १९७३ – २० जुलाई १९९७) भारतीय सेना की ८ वीं गोरखा राइफल्स में एक अधिकारी थे ।श्रीनगर, जम्मू और कश्मीर के नौशेरा इलाके में तीन मंजिला इमारत में छिपे हुए विदेशी आतंकवादियों के खिलाफ अभियान में उनकी वीरता के लिए, उन्हें मरणोपरांत भारत के सर्वोच्च वीरता पुरस्कार अशोक चक्र से सम्मानित किया गया।२९ अप्रैल, १९७३ को जोधपुर में जन्मे, उनके पास एक शानदार शैक्षणिक कैरियर था और वह खेल और पाठ्येतर गतिविधियों में गहरी रुचि रखते थे। उन्होंने दार्जिलिंग के सेंट बेथनी स्कूल, देहरादून में सेंट जोसेफ अकादमी, जयपुर में सेंट जेवियर्स स्कूल से पढ़ाई की और उन्होंने जयपुर के ठाकुर पब्लिक स्कूल से १२ वीं कक्षा पूरी की। उन्होंने स्कूल में फुटबॉल और नौकायन में भी उत्कृष्ट प्रदर्शन किया। बचपन के दौरान, उनकी महत्वाकांक्षा भारतीय सेना में शामिल होने की थी। एक बच्चे के रूप में, वह अपने दादाजी की वर्दी पहनते थे, एक गोरखा टोपी के साथ पूरा करते थे और एक अधिकारी होने का नाटक करते थे। एक बच्चे के रूप में, वह अपने पिता की यूनिट के गोरखा जवानों के साथ बहुत स्वतंत्र रूप से बातचीत करते थे और धाराप्रवाह गोरखाली बोल सकते थे। वह जवां या 'दाजुस', यानी बड़े भाई को बहुत प्रिय थे, क्योंकि उन्होंने उन्हें संबोधित किया था और जिन्हें वह अपनी प्यारी 'नानी' के रूप में बुलाते थे, जिसका अर्थ छोटा था। हाई स्कूल में रहते हुए, दत्त ने अपने जीवन के लक्ष्यों की ओर ध्यान आकर्षित किया, अर्थात, वह प्रतिष्ठित भारतीय रक्षा अकादमी में प्रवेश की तैयारी में भारतीय सेना में शामिल हो गए। अपने दृढ़ संकल्प और कड़ी मेहनत के माध्यम से, उन्होंने  दिसंबर १९९१ को एनडीए में प्रवेश किया। एनडीए में, उनके पास एक महान रिकॉर्ड था और उन्हें अपने स्क्वाड्रन के लिए 'कैडेट सार्जेंट मेजर' पदक से सम्मानित किया गया था - 'इको' अकादमिक और सैन्य दोनों में उत्कृष्ट अधिकार के साथ-साथ उत्कृष्ट प्राधिकरण। CSM के रूप में, उन्होंने अपने स्क्वाड्रन के लिए एक मूल्यवान क्रॉस कंट्री शील्ड जीता। उन्हें रोइंग में तीन स्वर्ण पदक से भी सम्मानित किया गया। उनके जोश और नेतृत्व के गुणों के कारण, उन्हें अपने साथियों के बीच 'जोश-प्रकार' के रूप में जाना जाता था। वह इतना मजबूत विश्वासी था और अपने पिता की रेजिमेंट में शामिल होने में सक्षम था। NDA में रहते हुए, उन्होंने हमेशा गर्व से गोरखा क्रेस्ट को चैप्टर टेबल पर प्रदर्शित किया। उन्होंने घर वापस लिखा कि जब भी वह एक गोरखा अधिकारी से मिलते थे, उनकी आत्माएं बढ़ जाती थीं। सेल रेजिमेंटल, उन्होंने कमीशन के पहले और बाद में, किसी भी मुखबिर या सेवानिवृत्त गोरखा अधिकारियों से मिलने के लिए अपने रास्ते से हटने के लिए एक विषय के रूप में इस्तेमाल किया।"
36,प्रिया झिंगन,"प्रिया झिंगन उन 25 महिला अधिकारियों के पहले बैच से एक हैं, जिन्हें 1993 में भारतीय सेना में कमीशन मिला था।[1][2]  झिंगन चेन्नई में अधिकारी प्रशिक्षण अकादमी में कैडेट नंबर 001 थी।[3][4][5]एक पुलिस अधिकारी की बेटी होने के कारण झिंगन प्रारम्भ में भारतीय पुलिस सेवा में शामिल होना चाहती थे, लेकिन उन्होंने सेना में भर्ती होने की अनुमति पाने के लिए तत्कालीन सेना प्रमुख सुनीत फ्रांसिस रोड्रिग्स को लिखने का फैसला किया।[1] उनके अनुरोध को 1992 में स्वीकार कर लिया गया और चेन्नई में अधिकारी प्रशिक्षण अकादमी में प्रशिक्षण के लिये बुला लिया गया।  उन्होंने 21 सितंबर 1992 से अन्य 24 महिला कैडेटों के साथ ओटीए प्रशिक्षण शुरू किया। 6 मार्च 1993 को उन्हें WS-00002W पर अपना लघु सेवा आयुक्त पद प्राप्त हुआ।[1][3] पैदल सेना में शामिल होने के उनके अनुरोध को सेना के शीर्ष अधिकारियों द्वारा खारिज कर दिया और कानून में स्नातक होने के नाते उन्हें कोर ऑफ जज एडवोकेट जनरल में शामिल होने की पेशकश की गई।[1] जज एडवोकेट जनरल में दस साल की सेवा के बाद, झिंगन 2002 में एक मेजर के रूप में सेवानिवृत्ति हुईं।[1] झिंगन हमेशा से सेना में शामिल होने वाली महिलाओं के लिए मजबूती से वकालत करती रही हैं, और लेफ्टिनेंट सुष्मिता चक्रवर्ती की विवादास्पद आत्महत्या पर, उस समय के तत्कालीन उप-प्रमुख लेफ्टिनेंट जनरल एस के सेना में महिलाओं को लेकर दिये बयान पर उन्हें माफी मांगनी पडी थी।[6]सेवानिवृत्ति के बाद, झिंगन ने हरियाणा न्यायिक सेवाओं के लिये अर्हता पास कर ली, हालांकि उन्होंने न्यायिक सेवा में शामिल नहीं हुईं।  इसके बाद उन्होंने पत्रकारिता और जनसंचार में स्नातक किया और गंगटोक में एक साप्ताहिक, सिक्किम एक्सप्रेस का संपादन करने लगी। 2013 में, वह खतरों के खिलाड़ी नामक धारावाहिक के पहले संस्करण के प्रतिभागियों में से एक थी।[7] 2013 में उन्होंने लॉरेंस स्कूल, सनावर में एक अंग्रेजी शिक्षक[8] और एक हाउस मिस्ट्रेस के रूप में शामिल हुईं।[9] प्रिया झिंगन की शादी मनोज मल्होत्रा से हुई है, जो सेना से लेफ्टिनेंट कर्नल के रूप में सेवानिवृत्त हुए और PepTurf नामक एक एडवेंचर स्पोर्ट्स कंपनी चलाते हैं। दंपति हिमाचल प्रदेश के सोलन में रहते हैं और उनका एक बेटा है।[6][10]"
